Cluster Number,Class Name,File Path
1,BPM3,profile-collections/isr-profile-collection/startup/03-bpm.py
1,BPM1,profile-collections/isr-profile-collection/startup/70-quadem.py
1,BPM2,profile-collections/isr-profile-collection/startup/70-quadem.py
1,DCM,profile-collections/isr-profile-collection/startup/04-dcm.py
1,Mirror,profile-collections/isr-profile-collection/startup/02-mirrors.py
1,TestingStage,profile-collections/tes-profile-collection/startup/21-testing-stage.py
1,SampleStage,profile-collections/tes-profile-collection/startup/21-testing-stage.py
1,XYStage,profile-collections/tes-profile-collection/startup/20-motors.py
1,Mono,profile-collections/tes-profile-collection/startup/20-motors.py
1,SSA,profile-collections/tes-profile-collection/startup/20-motors.py
1,Robot_Smart,profile-collections/tes-profile-collection/startup/20-motors.py
1,Sample_Smart,profile-collections/tes-profile-collection/startup/20-motors.py
1,SDD_Smart,profile-collections/tes-profile-collection/startup/20-motors.py
1,SampleStage,profile-collections/qas-profile-collection/startup/20-motors.py
1,PilatusMotion,profile-collections/qas-profile-collection/startup/20-motors.py
1,Mirror,profile-collections/qas-profile-collection/startup/20-motors.py
1,SlitsVA,profile-collections/qas-profile-collection/startup/20-motors.py
1,Table,profile-collections/qas-profile-collection/startup/20-motors.py
1,Table_c,profile-collections/qas-profile-collection/startup/20-motors.py
1,BeamStop,profile-collections/qas-profile-collection/startup/20-motors.py
1,PerkinElmerPositioner,profile-collections/qas-profile-collection/startup/20-motors.py
1,Drifts,profile-collections/qas-profile-collection/startup/20-motors.py
1,IonChamberY,profile-collections/qas-profile-collection/startup/20-motors.py
1,Stage,profile-collections/xfm-profile-collection/startup/10-stages.py
1,KBTweaker,profile-collections/amx-profile-collection/startup/96-beam_alignment.py
1,Bpm,profile-collections/amx-profile-collection/startup/21-bpm.py
1,Best,profile-collections/amx-profile-collection/startup/21-bpm.py
1,XYMotor,profile-collections/amx-profile-collection/startup/10-motors.py
1,Slits,profile-collections/amx-profile-collection/startup/10-motors.py
1,VerticalDCM,profile-collections/amx-profile-collection/startup/10-motors.py
1,TandemMirrors,profile-collections/amx-profile-collection/startup/10-motors.py
1,KBMirror,profile-collections/amx-profile-collection/startup/10-motors.py
1,GoniometerStack,profile-collections/amx-profile-collection/startup/10-motors.py
1,ShutterTranslation,profile-collections/amx-profile-collection/startup/10-motors.py
1,BeamStop,profile-collections/amx-profile-collection/startup/10-motors.py
1,Attenuator,profile-collections/amx-profile-collection/startup/10-motors.py
1,Collimator,profile-collections/amx-profile-collection/startup/10-motors.py
1,FEBPM,profile-collections/bmm-profile-collection/startup/BMM/frontend.py
1,HxnAnc350_3,profile-collections/hxn-profile-collection/startup/13-mll.py
1,HxnPrototypeSample,profile-collections/hxn-profile-collection/startup/16-ptycho.py
1,HxnPrototypePhasePlate,profile-collections/hxn-profile-collection/startup/16-ptycho.py
1,HxnBpm,profile-collections/hxn-profile-collection/startup/20-detectors.py
1,TestMotor,profile-collections/nyx-profile-collection/startup/10-motors.py
1,XYMotor,profile-collections/nyx-profile-collection/startup/10-motors.py
1,Slits,profile-collections/nyx-profile-collection/startup/10-motors.py
1,DCM,profile-collections/nyx-profile-collection/startup/10-motors.py
1,Mirror,profile-collections/nyx-profile-collection/startup/10-motors.py
1,SampleCam,profile-collections/nyx-profile-collection/startup/10-motors.py
1,BeamPipe,profile-collections/nyx-profile-collection/startup/10-motors.py
1,Global,profile-collections/nyx-profile-collection/startup/10-motors.py
1,Goniometer,profile-collections/nyx-profile-collection/startup/10-motors.py
1,BeamStop,profile-collections/nyx-profile-collection/startup/10-motors.py
1,Table,profile-collections/nyx-profile-collection/startup/10-motors.py
1,Detector,profile-collections/nyx-profile-collection/startup/10-motors.py
1,SP_mtr,profile-collections/esm-xpeem-profile-collection/startup/10-machine.py
1,BPM_signal,profile-collections/csx-profile-collection/startup/csx1/devices/epu.py
1,BPM,profile-collections/csx-profile-collection/startup/csx1/devices/epu.py
1,M3AMirror,profile-collections/csx-profile-collection/startup/csx1/devices/optics.py
1,Nanopositioner,profile-collections/csx-profile-collection/startup/csx1/devices/optics.py
1,SlitsGapCenter,profile-collections/csx-profile-collection/startup/csx1/devices/optics.py
1,SlitsXY,profile-collections/csx-profile-collection/startup/csx1/devices/optics.py
1,MotorMirror,profile-collections/ios-profile-collection/startup/10-optics.py
1,SlitsGapCenter,profile-collections/ios-profile-collection/startup/10-optics.py
1,Blades,profile-collections/cms-profile-collection/startup/10-motors.py
1,BeamStop,profile-collections/pdf-profile-collection/startup/12-motors.py
1,OCMTable,profile-collections/pdf-profile-collection/startup/12-motors.py
1,ECS,profile-collections/pdf-profile-collection/startup/12-motors.py
1,Analyzer,profile-collections/pdf-profile-collection/startup/25-sample-env.py
1,SideBounceMono,profile-collections/pdf-profile-collection/startup/15-optics.py
1,SpinnerGoniohead,profile-collections/pdf-profile-collection/startup/15-optics.py
1,OCMTable,profile-collections/pdf-profile-collection/startup/15-optics.py
1,CRL,profile-collections/ixs-profile-collection/startup/10-machine.py
1,Blades,profile-collections/ixs-profile-collection/startup/10-optics.py
1,DCM,profile-collections/ixs-profile-collection/startup/10-optics.py
1,HRM2,profile-collections/ixs-profile-collection/startup/10-optics.py
1,VFM,profile-collections/ixs-profile-collection/startup/10-optics.py
1,HFM,profile-collections/ixs-profile-collection/startup/10-optics.py
1,XYMotor,profile-collections/ixs-profile-collection/startup/10-optics.py
1,Table,profile-collections/ixs-profile-collection/startup/10-optics.py
1,SampleStage,profile-collections/ixs-profile-collection/startup/90-endstation.py
1,DCMInternals,profile-collections/opls-profile-collection/startup/11-energy.py
1,Smaract2,profile-collections/opls-profile-collection/startup/25-slits.py
1,Smaract3,profile-collections/opls-profile-collection/startup/25-slits.py
1,BSTOP,profile-collections/opls-profile-collection/startup/25-slits.py
1,SampleSlit,profile-collections/opls-profile-collection/startup/25-slits.py
1,Table1,profile-collections/opls-profile-collection/startup/20-motors.py
1,Tilt,profile-collections/opls-profile-collection/startup/20-motors.py
1,DET_SAXS,profile-collections/opls-profile-collection/startup/20-motors.py
1,FLIGHT_PATH_SAXS,profile-collections/opls-profile-collection/startup/20-motors.py
1,ROT,profile-collections/opls-profile-collection/startup/20-motors.py
1,XBPM,profile-collections/opls-profile-collection/startup/12-xbpm.py
1,XBPM4,profile-collections/opls-profile-collection/startup/40-quadem.py
1,CRL1,profile-collections/opls-profile-collection/startup/14-crl.py
1,CRL2,profile-collections/opls-profile-collection/startup/14-crl.py
1,Condenser,profile-collections/fxi-profile-collection/startup/11-txm_motor.py
1,Zoneplate,profile-collections/fxi-profile-collection/startup/11-txm_motor.py
1,Aperture,profile-collections/fxi-profile-collection/startup/11-txm_motor.py
1,PhaseRing,profile-collections/fxi-profile-collection/startup/11-txm_motor.py
1,BetrandLens,profile-collections/fxi-profile-collection/startup/11-txm_motor.py
1,TXMSampleStage,profile-collections/fxi-profile-collection/startup/11-txm_motor.py
1,DetSupport,profile-collections/fxi-profile-collection/startup/11-txm_motor.py
1,Scint,profile-collections/fxi-profile-collection/startup/11-txm_motor.py
1,mirror,profile-collections/fxi-profile-collection/startup/12-optics_motor.py
1,DCM,profile-collections/fxi-profile-collection/startup/12-optics_motor.py
1,PBSL,profile-collections/fxi-profile-collection/startup/12-optics_motor.py
1,Manipulator,profile-collections/six-profile-collection/startup/24-sample_envs.py
1,M1,profile-collections/six-profile-collection/startup/10-mirror.py
1,M6,profile-collections/six-profile-collection/startup/10-mirror.py
1,MHexapod,profile-collections/six-profile-collection/startup/10-mirror.py
1,EHexapod,profile-collections/six-profile-collection/startup/10-mirror.py
1,PGMjoe,profile-collections/six-profile-collection/startup/84-pgm.py
1,PGM_ES,profile-collections/six-profile-collection/startup/84-pgm.py
1,DIAGON,profile-collections/six-profile-collection/startup/20-diagon.py
1,BaffleSlitBase,profile-collections/six-profile-collection/startup/12-slits.py
1,SCdevice,profile-collections/six-profile-collection/startup/13-chamber.py
1,Brdevice,profile-collections/six-profile-collection/startup/13-chamber.py
1,OCdevice,profile-collections/six-profile-collection/startup/13-chamber.py
1,DCdevice,profile-collections/six-profile-collection/startup/13-chamber.py
1,Printer_3D,profile-collections/chx-profile-collection/optional_startup/30-SAXS_WAXS.py
1,Blades,profile-collections/chx-profile-collection/startup/10-optics.py
1,XYMotor,profile-collections/chx-profile-collection/startup/10-optics.py
1,DCM,profile-collections/chx-profile-collection/startup/10-optics.py
1,DMM,profile-collections/chx-profile-collection/startup/10-optics.py
1,Kinoform,profile-collections/chx-profile-collection/startup/10-optics.py
1,SmarAct_single_axis,profile-collections/chx-profile-collection/startup/10-optics.py
1,XBPM,profile-collections/chx-profile-collection/startup/10-optics.py
1,amp_motor,profile-collections/chx-profile-collection/startup/10-optics.py
1,XBpm,profile-collections/chx-profile-collection/startup/35-detectors.py
1,MonoDCM,profile-collections/lix-profile-collection/startup/components/14-energy.py
1,XBPM,profile-collections/lix-profile-collection/startup/components/14-energy.py
1,XYMotor,profile-collections/lix-profile-collection/startup/components/10-motors.py
1,ApertureDev,profile-collections/lix-profile-collection/startup/components/10-motors.py
1,SlitsCenterAndGap,profile-collections/lix-profile-collection/startup/components/10-motors.py
1,HRM1,profile-collections/lix-profile-collection/startup/components/10-motors.py
1,HRM2,profile-collections/lix-profile-collection/startup/components/10-motors.py
1,StageScan,profile-collections/lix-profile-collection/startup/components/10-motors.py
1,Tilt,profile-collections/lix-profile-collection/startup/components/10-motors.py
1,LT_mtr,profile-collections/esm-arpes-profile-collection/startup/10-machine.py
1,SP_mtr,profile-collections/esm-arpes-profile-collection/startup/10-machine.py
1,ModXY_CF,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,BeamPipeStage,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,Table1,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,HT,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,HTFly,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,CVDViewer,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,PBSlits,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,XASMono,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,Sample_Cryo,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,Table3,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,Mod12,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,Mod34,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
1,SydorBPM,profile-collections/xfp-profile-collection/startup/20-bpm.py
1,DBPM,profile-collections/xfp-profile-collection/startup/20-bpm.py
1,SydorPBG,profile-collections/xfp-profile-collection/startup/20-bpm.py
1,Slits,profile-collections/xpd-profile-collection/startup/15-optics.py
1,MaiaStage,profile-collections/xfm-maia-profile-collection/startup/11-stages.py
1,AmptekPositions,profile-collections/smi-profile-collection/startup/smiclasses/amptek.py
